study_accession	sample_accession	analysis_accession	analysis_type	tax_id	scientific_name	submitted_ftp
PRJEB11750	SAMEA2555012	ERZ127487	SEQUENCE_VARIATION	9606	Homo sapiens	ftp.sra.ebi.ac.uk/vol1/ERZ127/ERZ127487/HPSI0114i-rozh_5.wec.gtarray.HumanCoreExome-12_v1_0.20141111.genotypes.vcf.gz;ftp.sra.ebi.ac.uk/vol1/ERZ127/ERZ127487/HPSI0114i-rozh_5.wec.gtarray.HumanCoreExome-12_v1_0.20141111.genotypes.vcf.gz.tbi;ftp.sra.ebi.ac.uk/vol1/ERZ127/ERZ127487/hipsci_20151028.ped
PRJEB11750	SAMEA2398988	ERZ127488	SEQUENCE_VARIATION	9606	Homo sapiens	ftp.sra.ebi.ac.uk/vol1/ERZ127/ERZ127488/HPSI1213pf-pahc.wec.gtarray.HumanCoreExome-12_v1_0.20141111.genotypes.vcf.gz.tbi;ftp.sra.ebi.ac.uk/vol1/ERZ127/ERZ127488/HPSI1213pf-pahc.wec.gtarray.HumanCoreExome-12_v1_0.20141111.genotypes.vcf.gz;ftp.sra.ebi.ac.uk/vol1/ERZ127/ERZ127488/hipsci_20151028.ped
PRJEB11750	SAMEA2464810	ERZ127489	SEQUENCE_VARIATION	9606	Homo sapiens	ftp.sra.ebi.ac.uk/vol1/ERZ127/ERZ127489/HPSI1113i-qolg_3.wec.gtarray.HumanCoreExome-12_v1_0.20141111.genotypes.vcf.gz;ftp.sra.ebi.ac.uk/vol1/ERZ127/ERZ127489/HPSI1113i-qolg_3.wec.gtarray.HumanCoreExome-12_v1_0.20141111.genotypes.vcf.gz.tbi;ftp.sra.ebi.ac.uk/vol1/ERZ127/ERZ127489/hipsci_20151028.ped
PRJEB11750	SAMEA2398020	ERZ127490	SEQUENCE_VARIATION	9606	Homo sapiens	ftp.sra.ebi.ac.uk/vol1/ERZ127/ERZ127490/HPSI1013pf-pamv.wec.gtarray.HumanCoreExome-12_v1_0.20141111.genotypes.vcf.gz;ftp.sra.ebi.ac.uk/vol1/ERZ127/ERZ127490/HPSI1013pf-pamv.wec.gtarray.HumanCoreExome-12_v1_0.20141111.genotypes.vcf.gz.tbi;ftp.sra.ebi.ac.uk/vol1/ERZ127/ERZ127490/hipsci_20151028.ped
PRJEB11750	SAMEA2464819	ERZ127491	SEQUENCE_VARIATION	9606	Homo sapiens	ftp.sra.ebi.ac.uk/vol1/ERZ127/ERZ127491/HPSI1113i-uofv_1.wec.gtarray.HumanCoreExome-12_v1_0.20141111.genotypes.vcf.gz.tbi;ftp.sra.ebi.ac.uk/vol1/ERZ127/ERZ127491/HPSI1113i-uofv_1.wec.gtarray.HumanCoreExome-12_v1_0.20141111.genotypes.vcf.gz;ftp.sra.ebi.ac.uk/vol1/ERZ127/ERZ127491/hipsci_20151028.ped
PRJEB11750	SAMEA2627573	ERZ127492	SEQUENCE_VARIATION	9606	Homo sapiens	ftp.sra.ebi.ac.uk/vol1/ERZ127/ERZ127492/HPSI0314i-sojd_1.wec.gtarray.HumanCoreExome-12_v1_0.20141111.genotypes.vcf.gz.tbi;ftp.sra.ebi.ac.uk/vol1/ERZ127/ERZ127492/HPSI0314i-sojd_1.wec.gtarray.HumanCoreExome-12_v1_0.20141111.genotypes.vcf.gz;ftp.sra.ebi.ac.uk/vol1/ERZ127/ERZ127492/hipsci_20151028.ped
PRJEB11750	SAMEA2627575	ERZ127493	SEQUENCE_VARIATION	9606	Homo sapiens	ftp.sra.ebi.ac.uk/vol1/ERZ127/ERZ127493/HPSI0214i-fiau_2.wec.gtarray.HumanCoreExome-12_v1_0.20141111.genotypes.vcf.gz;ftp.sra.ebi.ac.uk/vol1/ERZ127/ERZ127493/HPSI0214i-fiau_2.wec.gtarray.HumanCoreExome-12_v1_0.20141111.genotypes.vcf.gz.tbi;ftp.sra.ebi.ac.uk/vol1/ERZ127/ERZ127493/hipsci_20151028.ped
PRJEB11750	SAMEA2464796	ERZ127494	SEQUENCE_VARIATION	9606	Homo sapiens	ftp.sra.ebi.ac.uk/vol1/ERZ127/ERZ127494/HPSI1213i-nusw_1.wec.gtarray.HumanCoreExome-12_v1_0.20141111.genotypes.vcf.gz.tbi;ftp.sra.ebi.ac.uk/vol1/ERZ127/ERZ127494/HPSI1213i-nusw_1.wec.gtarray.HumanCoreExome-12_v1_0.20141111.genotypes.vcf.gz;ftp.sra.ebi.ac.uk/vol1/ERZ127/ERZ127494/hipsci_20151028.ped
PRJEB11750	SAMEA2570421	ERZ127495	SEQUENCE_VARIATION	9606	Homo sapiens	ftp.sra.ebi.ac.uk/vol1/ERZ127/ERZ127495/HPSI0114i-oevr_2.wec.gtarray.HumanCoreExome-12_v1_0.20141111.genotypes.vcf.gz;ftp.sra.ebi.ac.uk/vol1/ERZ127/ERZ127495/HPSI0114i-oevr_2.wec.gtarray.HumanCoreExome-12_v1_0.20141111.genotypes.vcf.gz.tbi;ftp.sra.ebi.ac.uk/vol1/ERZ127/ERZ127495/hipsci_20151028.ped
PRJEB11750	SAMEA2397882	ERZ127496	SEQUENCE_VARIATION	9606	Homo sapiens	ftp.sra.ebi.ac.uk/vol1/ERZ127/ERZ127496/HPSI1213pf-nekd.wec.gtarray.HumanCoreExome-12_v1_0.20141111.genotypes.vcf.gz.tbi;ftp.sra.ebi.ac.uk/vol1/ERZ127/ERZ127496/HPSI1213pf-nekd.wec.gtarray.HumanCoreExome-12_v1_0.20141111.genotypes.vcf.gz;ftp.sra.ebi.ac.uk/vol1/ERZ127/ERZ127496/hipsci_20151028.ped
PRJEB11750	SAMEA2398274	ERZ127497	SEQUENCE_VARIATION	9606	Homo sapiens	ftp.sra.ebi.ac.uk/vol1/ERZ127/ERZ127497/HPSI1013pf-woci.wec.gtarray.HumanCoreExome-12_v1_0.20141111.genotypes.vcf.gz;ftp.sra.ebi.ac.uk/vol1/ERZ127/ERZ127497/HPSI1013pf-woci.wec.gtarray.HumanCoreExome-12_v1_0.20141111.genotypes.vcf.gz.tbi;ftp.sra.ebi.ac.uk/vol1/ERZ127/ERZ127497/hipsci_20151028.ped
PRJEB11750	SAMEA2593857	ERZ127498	SEQUENCE_VARIATION	9606	Homo sapiens	ftp.sra.ebi.ac.uk/vol1/ERZ127/ERZ127498/HPSI0913i-diku_2.wec.gtarray.HumanCoreExome-12_v1_0.20141111.genotypes.vcf.gz;ftp.sra.ebi.ac.uk/vol1/ERZ127/ERZ127498/HPSI0913i-diku_2.wec.gtarray.HumanCoreExome-12_v1_0.20141111.genotypes.vcf.gz.tbi;ftp.sra.ebi.ac.uk/vol1/ERZ127/ERZ127498/hipsci_20151028.ped
PRJEB11750	SAMEA2518334	ERZ127499	SEQUENCE_VARIATION	9606	Homo sapiens	ftp.sra.ebi.ac.uk/vol1/ERZ127/ERZ127499/HPSI1013i-wuye_3.wec.gtarray.HumanCoreExome-12_v1_0.20141111.genotypes.vcf.gz;ftp.sra.ebi.ac.uk/vol1/ERZ127/ERZ127499/HPSI1013i-wuye_3.wec.gtarray.HumanCoreExome-12_v1_0.20141111.genotypes.vcf.gz.tbi;ftp.sra.ebi.ac.uk/vol1/ERZ127/ERZ127499/hipsci_20151028.ped
PRJEB11750	SAMEA2698315	ERZ127500	SEQUENCE_VARIATION	9606	Homo sapiens	ftp.sra.ebi.ac.uk/vol1/ERZ127/ERZ127500/HPSI0314i-hoik_1.wec.gtarray.HumanCoreExome-12_v1_0.20141111.genotypes.vcf.gz;ftp.sra.ebi.ac.uk/vol1/ERZ127/ERZ127500/HPSI0314i-hoik_1.wec.gtarray.HumanCoreExome-12_v1_0.20141111.genotypes.vcf.gz.tbi;ftp.sra.ebi.ac.uk/vol1/ERZ127/ERZ127500/hipsci_20151028.ped
PRJEB11750	SAMEA2474449	ERZ127501	SEQUENCE_VARIATION	9606	Homo sapiens	ftp.sra.ebi.ac.uk/vol1/ERZ127/ERZ127501/HPSI1113i-eofe_3.wec.gtarray.HumanCoreExome-12_v1_0.20141111.genotypes.vcf.gz.tbi;ftp.sra.ebi.ac.uk/vol1/ERZ127/ERZ127501/HPSI1113i-eofe_3.wec.gtarray.HumanCoreExome-12_v1_0.20141111.genotypes.vcf.gz;ftp.sra.ebi.ac.uk/vol1/ERZ127/ERZ127501/hipsci_20151028.ped
PRJEB11750	SAMEA2397890	ERZ127502	SEQUENCE_VARIATION	9606	Homo sapiens	ftp.sra.ebi.ac.uk/vol1/ERZ127/ERZ127502/HPSI1013i-wopl_3.wec.gtarray.HumanCoreExome-12_v1_0.20141111.genotypes.vcf.gz.tbi;ftp.sra.ebi.ac.uk/vol1/ERZ127/ERZ127502/HPSI1013i-wopl_3.wec.gtarray.HumanCoreExome-12_v1_0.20141111.genotypes.vcf.gz;ftp.sra.ebi.ac.uk/vol1/ERZ127/ERZ127502/hipsci_20151028.ped
PRJEB11750	SAMEA2627141	ERZ127503	SEQUENCE_VARIATION	9606	Homo sapiens	ftp.sra.ebi.ac.uk/vol1/ERZ127/ERZ127503/HPSI0114i-vass_1.wec.gtarray.HumanCoreExome-12_v1_0.20141111.genotypes.vcf.gz;ftp.sra.ebi.ac.uk/vol1/ERZ127/ERZ127503/HPSI0114i-vass_1.wec.gtarray.HumanCoreExome-12_v1_0.20141111.genotypes.vcf.gz.tbi;ftp.sra.ebi.ac.uk/vol1/ERZ127/ERZ127503/hipsci_20151028.ped
PRJEB11750	SAMEA2536411	ERZ127504	SEQUENCE_VARIATION	9606	Homo sapiens	ftp.sra.ebi.ac.uk/vol1/ERZ127/ERZ127504/HPSI0114i-zoxy_1.wec.gtarray.HumanCoreExome-12_v1_0.20141111.genotypes.vcf.gz;ftp.sra.ebi.ac.uk/vol1/ERZ127/ERZ127504/HPSI0114i-zoxy_1.wec.gtarray.HumanCoreExome-12_v1_0.20141111.genotypes.vcf.gz.tbi;ftp.sra.ebi.ac.uk/vol1/ERZ127/ERZ127504/hipsci_20151028.ped
PRJEB11750	SAMEA2547637	ERZ127505	SEQUENCE_VARIATION	9606	Homo sapiens	ftp.sra.ebi.ac.uk/vol1/ERZ127/ERZ127505/HPSI0114i-joxm_1.wec.gtarray.HumanCoreExome-12_v1_0.20141111.genotypes.vcf.gz.tbi;ftp.sra.ebi.ac.uk/vol1/ERZ127/ERZ127505/HPSI0114i-joxm_1.wec.gtarray.HumanCoreExome-12_v1_0.20141111.genotypes.vcf.gz;ftp.sra.ebi.ac.uk/vol1/ERZ127/ERZ127505/hipsci_20151028.ped
PRJEB11750	SAMEA2398650	ERZ127506	SEQUENCE_VARIATION	9606	Homo sapiens	ftp.sra.ebi.ac.uk/vol1/ERZ127/ERZ127506/HPSI1113pf-qorq.wec.gtarray.HumanCoreExome-12_v1_0.20141111.genotypes.vcf.gz.tbi;ftp.sra.ebi.ac.uk/vol1/ERZ127/ERZ127506/HPSI1113pf-qorq.wec.gtarray.HumanCoreExome-12_v1_0.20141111.genotypes.vcf.gz;ftp.sra.ebi.ac.uk/vol1/ERZ127/ERZ127506/hipsci_20151028.ped
PRJEB11750	SAMEA2398627	ERZ127507	SEQUENCE_VARIATION	9606	Homo sapiens	ftp.sra.ebi.ac.uk/vol1/ERZ127/ERZ127507/HPSI0214pf-kucg.wec.gtarray.HumanCoreExome-12_v1_0.20141111.genotypes.vcf.gz.tbi;ftp.sra.ebi.ac.uk/vol1/ERZ127/ERZ127507/HPSI0214pf-kucg.wec.gtarray.HumanCoreExome-12_v1_0.20141111.genotypes.vcf.gz;ftp.sra.ebi.ac.uk/vol1/ERZ127/ERZ127507/hipsci_20151028.ped
PRJEB11750	SAMEA2707499	ERZ127508	SEQUENCE_VARIATION	9606	Homo sapiens	ftp.sra.ebi.ac.uk/vol1/ERZ127/ERZ127508/HPSI0314i-qonc_1.wec.gtarray.HumanCoreExome-12_v1_0.20141111.genotypes.vcf.gz;ftp.sra.ebi.ac.uk/vol1/ERZ127/ERZ127508/HPSI0314i-qonc_1.wec.gtarray.HumanCoreExome-12_v1_0.20141111.genotypes.vcf.gz.tbi;ftp.sra.ebi.ac.uk/vol1/ERZ127/ERZ127508/hipsci_20151028.ped
PRJEB11750	SAMEA2418243	ERZ127509	SEQUENCE_VARIATION	9606	Homo sapiens	ftp.sra.ebi.ac.uk/vol1/ERZ127/ERZ127509/HPSI0314pf-sojd.wec.gtarray.HumanCoreExome-12_v1_0.20141111.genotypes.vcf.gz;ftp.sra.ebi.ac.uk/vol1/ERZ127/ERZ127509/HPSI0314pf-sojd.wec.gtarray.HumanCoreExome-12_v1_0.20141111.genotypes.vcf.gz.tbi;ftp.sra.ebi.ac.uk/vol1/ERZ127/ERZ127509/hipsci_20151028.ped
PRJEB11750	SAMEA2398469	ERZ127510	SEQUENCE_VARIATION	9606	Homo sapiens	ftp.sra.ebi.ac.uk/vol1/ERZ127/ERZ127510/HPSI1013pf-hiaf.wec.gtarray.HumanCoreExome-12_v1_0.20141111.genotypes.vcf.gz.tbi;ftp.sra.ebi.ac.uk/vol1/ERZ127/ERZ127510/HPSI1013pf-hiaf.wec.gtarray.HumanCoreExome-12_v1_0.20141111.genotypes.vcf.gz;ftp.sra.ebi.ac.uk/vol1/ERZ127/ERZ127510/hipsci_20151028.ped
PRJEB11750	SAMEA2678742	ERZ127511	SEQUENCE_VARIATION	9606	Homo sapiens	ftp.sra.ebi.ac.uk/vol1/ERZ127/ERZ127511/HPSI0214i-pelm_1.wec.gtarray.HumanCoreExome-12_v1_0.20141111.genotypes.vcf.gz.tbi;ftp.sra.ebi.ac.uk/vol1/ERZ127/ERZ127511/HPSI0214i-pelm_1.wec.gtarray.HumanCoreExome-12_v1_0.20141111.genotypes.vcf.gz;ftp.sra.ebi.ac.uk/vol1/ERZ127/ERZ127511/hipsci_20151028.ped
PRJEB11750	SAMEA2595428	ERZ127512	SEQUENCE_VARIATION	9606	Homo sapiens	ftp.sra.ebi.ac.uk/vol1/ERZ127/ERZ127512/HPSI0114i-vabj_2.wec.gtarray.HumanCoreExome-12_v1_0.20141111.genotypes.vcf.gz;ftp.sra.ebi.ac.uk/vol1/ERZ127/ERZ127512/HPSI0114i-vabj_2.wec.gtarray.HumanCoreExome-12_v1_0.20141111.genotypes.vcf.gz.tbi;ftp.sra.ebi.ac.uk/vol1/ERZ127/ERZ127512/hipsci_20151028.ped
PRJEB11750	SAMEA2464785	ERZ127513	SEQUENCE_VARIATION	9606	Homo sapiens	ftp.sra.ebi.ac.uk/vol1/ERZ127/ERZ127513/HPSI1113i-wetu_1.wec.gtarray.HumanCoreExome-12_v1_0.20141111.genotypes.vcf.gz;ftp.sra.ebi.ac.uk/vol1/ERZ127/ERZ127513/HPSI1113i-wetu_1.wec.gtarray.HumanCoreExome-12_v1_0.20141111.genotypes.vcf.gz.tbi;ftp.sra.ebi.ac.uk/vol1/ERZ127/ERZ127513/hipsci_20151028.ped
PRJEB11750	SAMEA2398554	ERZ127514	SEQUENCE_VARIATION	9606	Homo sapiens	ftp.sra.ebi.ac.uk/vol1/ERZ127/ERZ127514/HPSI1113pf-hayt.wec.gtarray.HumanCoreExome-12_v1_0.20141111.genotypes.vcf.gz;ftp.sra.ebi.ac.uk/vol1/ERZ127/ERZ127514/HPSI1113pf-hayt.wec.gtarray.HumanCoreExome-12_v1_0.20141111.genotypes.vcf.gz.tbi;ftp.sra.ebi.ac.uk/vol1/ERZ127/ERZ127514/hipsci_20151028.ped
PRJEB11750	SAMEA2474458	ERZ127515	SEQUENCE_VARIATION	9606	Homo sapiens	ftp.sra.ebi.ac.uk/vol1/ERZ127/ERZ127515/HPSI1013i-pamv_1.wec.gtarray.HumanCoreExome-12_v1_0.20141111.genotypes.vcf.gz.tbi;ftp.sra.ebi.ac.uk/vol1/ERZ127/ERZ127515/HPSI1013i-pamv_1.wec.gtarray.HumanCoreExome-12_v1_0.20141111.genotypes.vcf.gz;ftp.sra.ebi.ac.uk/vol1/ERZ127/ERZ127515/hipsci_20151028.ped
PRJEB11750	SAMEA2464792	ERZ127516	SEQUENCE_VARIATION	9606	Homo sapiens	ftp.sra.ebi.ac.uk/vol1/ERZ127/ERZ127516/HPSI1113i-wetu_3.wec.gtarray.HumanCoreExome-12_v1_0.20141111.genotypes.vcf.gz.tbi;ftp.sra.ebi.ac.uk/vol1/ERZ127/ERZ127516/HPSI1113i-wetu_3.wec.gtarray.HumanCoreExome-12_v1_0.20141111.genotypes.vcf.gz;ftp.sra.ebi.ac.uk/vol1/ERZ127/ERZ127516/hipsci_20151028.ped
PRJEB11750	SAMEA2625598	ERZ127517	SEQUENCE_VARIATION	9606	Homo sapiens	ftp.sra.ebi.ac.uk/vol1/ERZ127/ERZ127517/HPSI0913i-lise_2.wec.gtarray.HumanCoreExome-12_v1_0.20141111.genotypes.vcf.gz.tbi;ftp.sra.ebi.ac.uk/vol1/ERZ127/ERZ127517/HPSI0913i-lise_2.wec.gtarray.HumanCoreExome-12_v1_0.20141111.genotypes.vcf.gz;ftp.sra.ebi.ac.uk/vol1/ERZ127/ERZ127517/hipsci_20151028.ped
PRJEB11750	SAMEA2494987	ERZ127518	SEQUENCE_VARIATION	9606	Homo sapiens	ftp.sra.ebi.ac.uk/vol1/ERZ127/ERZ127518/HPSI1213i-xuja_1.wec.gtarray.HumanCoreExome-12_v1_0.20141111.genotypes.vcf.gz;ftp.sra.ebi.ac.uk/vol1/ERZ127/ERZ127518/HPSI1213i-xuja_1.wec.gtarray.HumanCoreExome-12_v1_0.20141111.genotypes.vcf.gz.tbi;ftp.sra.ebi.ac.uk/vol1/ERZ127/ERZ127518/hipsci_20151028.ped
PRJEB11750	SAMEA2627579	ERZ127519	SEQUENCE_VARIATION	9606	Homo sapiens	ftp.sra.ebi.ac.uk/vol1/ERZ127/ERZ127519/HPSI0214i-fiau_3.wec.gtarray.HumanCoreExome-12_v1_0.20141111.genotypes.vcf.gz;ftp.sra.ebi.ac.uk/vol1/ERZ127/ERZ127519/HPSI0214i-fiau_3.wec.gtarray.HumanCoreExome-12_v1_0.20141111.genotypes.vcf.gz.tbi;ftp.sra.ebi.ac.uk/vol1/ERZ127/ERZ127519/hipsci_20151028.ped
PRJEB11750	SAMEA2459966	ERZ127520	SEQUENCE_VARIATION	9606	Homo sapiens	ftp.sra.ebi.ac.uk/vol1/ERZ127/ERZ127520/HPSI1213i-babk_1.wec.gtarray.HumanCoreExome-12_v1_0.20141111.genotypes.vcf.gz.tbi;ftp.sra.ebi.ac.uk/vol1/ERZ127/ERZ127520/HPSI1213i-babk_1.wec.gtarray.HumanCoreExome-12_v1_0.20141111.genotypes.vcf.gz;ftp.sra.ebi.ac.uk/vol1/ERZ127/ERZ127520/hipsci_20151028.ped
PRJEB11750	SAMEA2613906	ERZ127521	SEQUENCE_VARIATION	9606	Homo sapiens	ftp.sra.ebi.ac.uk/vol1/ERZ127/ERZ127521/HPSI1013i-yemz_2.wec.gtarray.HumanCoreExome-12_v1_0.20141111.genotypes.vcf.gz;ftp.sra.ebi.ac.uk/vol1/ERZ127/ERZ127521/HPSI1013i-yemz_2.wec.gtarray.HumanCoreExome-12_v1_0.20141111.genotypes.vcf.gz.tbi;ftp.sra.ebi.ac.uk/vol1/ERZ127/ERZ127521/hipsci_20151028.ped
PRJEB11750	SAMEA2547615	ERZ127522	SEQUENCE_VARIATION	9606	Homo sapiens	ftp.sra.ebi.ac.uk/vol1/ERZ127/ERZ127522/HPSI0114i-kolf_2.wec.gtarray.HumanCoreExome-12_v1_0.20141111.genotypes.vcf.gz;ftp.sra.ebi.ac.uk/vol1/ERZ127/ERZ127522/HPSI0114i-kolf_2.wec.gtarray.HumanCoreExome-12_v1_0.20141111.genotypes.vcf.gz.tbi;ftp.sra.ebi.ac.uk/vol1/ERZ127/ERZ127522/hipsci_20151028.ped
